Autor,Portada,Nombre del Libro,Valoración media,Calificados,Publicado,Descripción,Genero
Jamie Cooper,https://images.gr-assets.com/books/1441833416l/26077197.jpg,Stephen Hawking: Extraordinary Life Lessons That Will Change Your Life Forever (Inspirational Books),4.17 avg rating,163 ratings,published 2015,"*** Limited time offer ***You are about to discover some of the greatest life secrets known to man. Whatever your circumstances, you can create the life you desire by following simple, counterintuitive steps; not the steps society wants you to follow. Unfortunately, you cannot even trust yourself whn  *** Limited time offer ***You are about to discover some of the greatest life secrets known to man. Whatever your circumstances, you can create the life you desire by following simple, counterintuitive steps; not the steps society wants you to follow. Unfortunately, you cannot even trust yourself when it comes to creating the life that you desire, because you’re programmed by your past, an accumulation of hundreds of thousands of years, a mind still adapted for a hunter-gatherer time period. What does this mean? It means every day you’re battling your emotions, logic versus emotion. Logically, you want to do one thing, but emotionally, you are drawn to something else. First, if this sounds familiar, then great, because it means you are human. But, if you’re going to win the game of life, you cannot sit around and wait for things to happen, because you’ll be living a life of supreme comfort and sameness; ultimately, a great sin. You are destined for great things, capable of forging dreams and living your aspirations. Maybe you’ve forgotten about this truth: that you are capable, worthy, and ready. Maybe you’ve been beaten into the ground by life, a teacher who doesn’t care if you’re rich or poor, weak or strong, ready or not, because life will continue forward regardless, waiting for no one. Fortunately, there’re things you can do to set yourself apart from the millions that will ultimately suffer and fail. One such thing, perhaps the most powerful of all, is by studying the great, people who have succeeded and who have gone beyond what is humanly thought possible. When it comes to studying someone great, there’s one name that stands tall, Stephen Hawking, a person who has persevered and flourished. Not only has he conquered great adversity, but he has inspired millions around the world with his brilliant mind. There is a reason why people compare him with the once living Albert Einstein, the genius. What follows are Stephen Hawking’s greatest life lessons, gems of wisdom that you can easily apply to your own life, which will help you live a more abundant, stronger life. If you’re in need of inspiration, a boost of confidence, or just a friendly reminder of the wonders in life, you’ve come to the right place. See for yourself why millions study his work and regard him as a genius. Scroll up and grab your copy today.*** Limited time offer ***",biography
Tanya Marquardt,https://images.gr-assets.com/books/1525474026l/36520889.jpg,Stray: Memoir of a Runaway,3.39 avg rating,"2,315 ratings",published 2018,"Brutal and beautiful, Stray is the true story of a girl who runs away and finds herself. After growing up in a dysfunctional and emotionally abusive home, Tanya Marquardt runs away on her sixteenth birthday. Her departure is an act of rebellion and survival—whatever she is heading toward has to be bn  Brutal and beautiful, Stray is the true story of a girl who runs away and finds herself.nnAfter growing up in a dysfunctional and emotionally abusive home, Tanya Marquardt runs away on her sixteenth birthday. Her departure is an act of rebellion and survival—whatever she is heading toward has to be better than what she is leaving behind.nnStruggling with her inner demons, Tanya must learn to take care of herself during two chaotic years in the working-class mill town of Port Alberni, followed by the early-nineties underground goth scene in Vancouver, British Columbia. She finds a chosen family in her fellow misfits, and the bond they form is fierce and unflinching.nnTold with raw honesty and strength, Stray reveals Tanya’s fight to embrace the vulnerable, beguiling parts of herself and heal the wounds of her past as she forges her own path to a new life.",biography
Elizabeth  Smart,https://images.gr-assets.com/books/1367749530l/17287028.jpg,My Story,3.80 avg rating,"30,232 ratings",published 2013,"For the first time, ten years after her abduction from her Salt Lake City bedroom, Elizabeth Smart reveals how she survived and the secret to forging a new life in the wake of a brutal crime.On June 5, 2002, fourteen-year-old Elizabeth Smart, the daughter of a close-knit Mormon family, was taken fron  For the first time, ten years after her abduction from her Salt Lake City bedroom, Elizabeth Smart reveals how she survived and the secret to forging a new life in the wake of a brutal crime.On June 5, 2002, fourteen-year-old Elizabeth Smart, the daughter of a close-knit Mormon family, was taken from her home in the middle of the night by religious fanatic, Brian David Mitchell and his wife, Wanda Barzee. She was kept chained, dressed in disguise, repeatedly raped, and told she and her family would be killed if she tried to escape. After her rescue on March 12, 2003, she rejoined her family and worked to pick up the pieces of her life.Now for the first time, in her memoir, MY STORY, she tells of the constant fear she endured every hour, her courageous determination to maintain hope, and how she devised a plan to manipulate her captors and convinced them to return to Utah, where she was rescued minutes after arriving. Smart explains how her faith helped her stay sane in the midst of a nightmare and how she found the strength to confront her captors at their trial and see that justice was served.In the nine years after her rescue, Smart transformed from victim to advocate, traveling the country and working to educate, inspire and foster change. She has created a foundation to help prevent crimes against children and is a frequent public speaker. In 2012, she married Matthew Gilmour, whom she met doing mission work in Paris for her church, in a fairy tale wedding that made the cover of People magazine.",biography
Jedidiah Jenkins,https://images.gr-assets.com/books/1533081722l/35356383.jpg,"To Shake the Sleeping Self: A Journey from Oregon to Patagonia, and a Quest for a Life with No Regret",4.14 avg rating,526 ratings,published 2018,"New York Times bestseller - ""Thrilling, tender, utterly absorbing . . . Every chapter shimmered with truth."" --Cheryl Strayed From travel writer Jedidiah Jenkins comes a long-awaited memoir of adventure, struggle, and lessons learned while bicycling the 14,000 miles from Oregon to Patagonia. On then  New York Times bestseller - ""Thrilling, tender, utterly absorbing . . . Every chapter shimmered with truth."" --Cheryl Strayed nnFrom travel writer Jedidiah Jenkins comes a long-awaited memoir of adventure, struggle, and lessons learned while bicycling the 14,000 miles from Oregon to Patagonia.nnOn the eve of turning thirty, terrified of being funneled into a life he didn't choose, Jedidiah Jenkins quit his dream job and spent the next sixteen months cycling from Oregon to Patagonia. He chronicled the trip on Instagram, where his photos and profound reflections on life soon attracted hundreds of thousands of followers and got him featured by National Geographic and The Paris Review.nnIn this unflinchingly honest memoir, Jed narrates the adventure that started it all: the people and places he encountered on his way to the bottom of the world, and the internal journey that prompted it. As he traverses cities, mountains, and inner boundaries, Jenkins grapples with the questions of what it means to be an adult, his struggle to reconcile his sexual identity with his conservative Christian upbringing, and his belief in travel as a way to ""wake us up"" to life back home.nnA soul-stirring read for the wanderer in each of us, To Shake the Sleeping Self is an unforgettable reflection on adventure, identity, and a life lived without regret.",biography
Anna Ruston,https://images.gr-assets.com/books/1481185827l/33276591.jpg,Secret Slave,4.26 avg rating,"2,031 ratings",published 2016,"Growing up in a deeply troubled family, 15-year-old Anna felt lost and alone in the world. So when a friendly taxi driver called Malik befriended her at the taxi-rank she helped out at, Anna welcomed the attention and before long found herself agreeing to go home with him to meet his family. But whan  Growing up in a deeply troubled family, 15-year-old Anna felt lost and alone in the world. So when a friendly taxi driver called Malik befriended her at the taxi-rank she helped out at, Anna welcomed the attention and before long found herself agreeing to go home with him to meet his family. But what Anna didn't realize as she stepped into the hallway of Malik's home was that she would not leave the house for the next 13 years . . . Held captive by sadistic pedophile Malik and his family, Anna was locked in a bedroom and subjected to over a decade of despicable levels of sexual abuse and torture. Completely shut off from the outside world, she was broken both physically and mentally by unrelenting violence and degradation, her darkest moments coming as her abuse resulted in the birth of four babies . . . each of which were taken from her, never to be seen again. But then one day a kindly health visitor showed up, and despite her shattered mind and body, Anna spotted a chance of escape . . . A harrowing but ultimately inspiring read, Secret Slave reveals the shocking truth of what can happen behind the closed door of a very normal house on an average British street.",biography
Dale Earnhardt Jr.,https://images.gr-assets.com/books/1524741676l/38915912.jpg,Racing to the Finish: My Story,4.67 avg rating,169 ratings,published 2018,"It was a seemingly minor crash at Michigan International Speedway in June 2016 that ended the day early for Dale Earnhardt Jr. What he didn’t know was that it would also end his driving for the year. He’d dealt with concussions before, but concussions are like snowflakes—no two are the same. And recn  It was a seemingly minor crash at Michigan International Speedway in June 2016 that ended the day early for Dale Earnhardt Jr. What he didn’t know was that it would also end his driving for the year. He’d dealt with concussions before, but concussions are like snowflakes—no two are the same. And recovery can be brutal—and lengthy.nnAs a third-generation driver in a family forever connected to the sport of stock-car racing, how could Dale Earnhardt Jr. sit on the sidelines and watch everyone else take their laps? It was one of the toughest seasons of his life—one that changed him forever.nnIn this gripping narrative from one of professional sports’ most beloved figures, Dale Jr. shares stories from his journey: how his career and his injury have transformed him, how he made the decision to retire at the end of the 2017 season after eighteen years behind the wheel, and what lies ahead for him in the next chapter of his life. There’s no second-guessing and no regrets from Driver #88. He simply wants to go out on his own terms and make the rest of his life off the racetrack count. Junior says, “I don’t want these last races to be just about me but rather the people who made my success possible: my fans, the folks who pack the grandstands rain or shine, my teammates and crew members through the years, industry colleagues, track volunteers, friends, family, sponsors. They’ve all played a role. I couldn’t have done it without them.”",biography
Kerri Maher,https://images.gr-assets.com/books/1526649949l/37969770.jpg,The Kennedy Debutante,3.96 avg rating,472 ratings,published 2018," A captivating novel following the exploits of Kathleen ""Kick"" Kennedy, the forgotten and rebellious daughter of one of America's greatest political dynasties. London, 1938. The effervescent ""It girl"" of London society since her father was named the ambassador, Kathleen ""Kick"" Kennedy moves in rarifn  n  n    A captivating novel following the exploits of Kathleen ""Kick"" Kennedy, the forgotten and rebellious daughter of one of America's greatest political dynasties.n  nLondon, 1938. The effervescent ""It girl"" of London society since her father was named the ambassador, Kathleen ""Kick"" Kennedy moves in rarified circles, rubbing satin-covered elbows with some of the 20th century's most powerful figures. Eager to escape the watchful eye of her strict mother, Rose, the antics of her older brothers, Jack and Joe, and the erratic behavior of her sister Rosemary, Kick is ready to strike out on her own and is soon swept off her feet by Billy Hartington, the future Duke of Devonshire.But their love is forbidden, as Kick's devout Catholic family and Billy's staunchly Protestant one would never approve their match. When war breaks like a tidal wave across her world, Billy is ripped from her arms as the Kennedys are forced to return to the States. Kick gets work as a journalist and joins the Red Cross to get back to England, where she will have to decide where her true loyalties lie—with family or with love . . .",biography
Christina Rickardsson,https://images.gr-assets.com/books/1468403076l/31111462.jpg,Sluta aldrig gå - Från gatan i Sao Paulo till Vindeln i Norrland,3.86 avg rating,"5,970 ratings",published 2018,"”Jag är född i Brasiliens vildmark och bodde i en grotta tills jag var ungefär fem år gammal. Därefter flyttade min mamma och jag in till en av São Paulos många kåkstäder – en rent livsfarlig miljö för ett barn att växa upp i. Jag fick tidigt lära mig att inte lita på polisen eller andra vuxna. Oftan  ”Jag är född i Brasiliens vildmark och bodde i en grotta tills jag var ungefär fem år gammal. Därefter flyttade min mamma och jag in till en av São Paulos många kåkstäder – en rent livsfarlig miljö för ett barn att växa upp i. Jag fick tidigt lära mig att inte lita på polisen eller andra vuxna. Ofta fick jag klara mig själv och jag fick även ansvara för min lillebror innan jag slutligen hamnade på barnhem. Ett år senare, när jag var åtta år, adopterades jag bort till en familj i Vindeln i Västerbotten.” nnChristina berättar om sitt liv som gatubarn i Brasilien, om svält, misshandel och separation. Om uppväxten i Sverige och alla kulturkrockar som uppstod när hon kom till det lilla samhället i Norrland. Hur hon har bearbetat sina upplevelser i vuxen ålder och börjat bygga upp ett nytt liv. Och när hon behöver fylla på med kraft och energi har hon ett speciellt knep: Hon kastar sig ut från ett flygplan och faller fritt i sextio sekunder innan fallskärmen vecklas ut. Att landa på fötterna är bra att kunna i många sammanhang! nnDet här är en berättelse om kärlek, sorg, vänskap och förlust. Christina berättar om att överleva, om hur vitt skilda världar har format henne och hur hon har kämpat för att få ihop sina två jag.",biography
Kimberly Rae Miller,https://images.gr-assets.com/books/1381962759l/16218778.jpg,Coming Clean,3.94 avg rating,"30,198 ratings",published 2013,"A stunning memoir about a childhood spent growing up in a family of extreme hoarders and hiding squalor behind the veneer of a perfect family. Kim Miller is an immaculately put-together woman with a great career, a loving boyfriend, and a beautifully tidy apartment in Brooklyn. You would never guessn  A stunning memoir about a childhood spent growing up in a family of extreme hoarders and hiding squalor behind the veneer of a perfect family. Kim Miller is an immaculately put-together woman with a great career, a loving boyfriend, and a beautifully tidy apartment in Brooklyn. You would never guess that she spent her childhood hiding behind the closed doors of her family’s idyllic Long Island house, navigating between teetering stacks of aging newspaper, broken computers, and boxes upon boxes of unused junk festering in every room—the product of her father’s painful and unending struggle with hoarding. In this coming-of-age story, Kim brings to life her experience of growing up in a rat-infested home, concealing her father’s shameful secret from friends for years, and of the emotional burden that ultimately led to an attempt to take her own life. And in beautiful prose, Miller sheds light on her complicated yet loving relationship with her parents that has thrived in spite of the odds.  Coming Clean is a story about recognizing where we come from and the relationships that define us—and about finding peace in the homes we make for ourselves.",biography
Édouard Louis,https://images.gr-assets.com/books/1389393932l/20507062.jpg,En finir avec Eddy Bellegueule,3.83 avg rating,"6,595 ratings",published 2014,"""Je suis parti en courant, tout à coup. Juste le temps d'entendre ma mère dire Qu'est-ce qui fait le débile là ? Je ne voulais pas rester à leur côté, je refusais de partager ce moment avec eux. J'étais déjà loin, je n'appartenais plus à leur monde désormais, la lettre le disait. Je suis allé dans ln  ""Je suis parti en courant, tout à coup. Juste le temps d'entendre ma mère dire Qu'est-ce qui fait le débile là ? Je ne voulais pas rester à leur côté, je refusais de partager ce moment avec eux. J'étais déjà loin, je n'appartenais plus à leur monde désormais, la lettre le disait. Je suis allé dans les champs et j'ai marché une bonne partie de la nuit, la fraîcheur du Nord, les chemins de terre, l'odeur de colza, très forte à ce moment de l'année. Toute la nuit fut consacrée à l'élaboration de ma nouvelle vie loin d'ici.""En vérité, l'insurrection contre mes parents, contre la pauvreté, contre ma classe sociale, son racisme, sa violence, ses habitudes, n'a été que seconde. Car avant de m'insurger contre le monde de mon enfance, c'est le monde de mon enfance qui s'est insurgé contre moi. Très vite j'ai été pour ma famille et les autres une source de honte, et même de dégoût. Je n'ai pas eu d'autre choix que de prendre la fuite.""",biography
Sean Patrick,https://images.gr-assets.com/books/1366561721l/17835351.jpg,Nikola Tesla: Imagination and the Man That Invented the 20th Century,3.83 avg rating,"20,391 ratings",published 2013,"If you want to learn about one of history’s most fascinating minds and uncover some of his secrets of imagination—secrets that enabled him to invent machines light years ahead of his time and literally bring light to the world—then you want to read this book. Imagination amplifies and colors every on  If you want to learn about one of history’s most fascinating minds and uncover some of his secrets of imagination—secrets that enabled him to invent machines light years ahead of his time and literally bring light to the world—then you want to read this book.nnImagination amplifies and colors every other element of genius, and unlocks our potential for understanding and ability. nnIt’s no coincidence that geniuses not only dare to dream of the impossible for their work, but do the same for their lives. They’re audacious enough to think that they’re not just ordinary players. nnFew stories better illustrate this better than the life of the father of the modern world, a man of legendary imaginative power and wonder: Nikola Tesla.nnIn this book, you’ll be taken on a whirlwind journey through Tesla’s life and work, and not only learn about the successes and mistakes of one of history’s greatest inventors, but also how to look at the world in a different, more imaginative way.nnRead this book now and learn lessons from Nikola Tesla on why imagination is so vital to awakening your inner genius, and insights into the real “secret” to creativity, as explained by people like Jobs, Picasso, Dali, and Twain.",biography
Erling Kagge,https://images.gr-assets.com/books/1489355450l/32311791.jpg,Stillhet i støyens tid. Gleden ved å stenge verden ute,3.74 avg rating,"2,170 ratings",published 2016,"Behind a cacophony of traffic noise, iPhone alerts and our ever-spinning thoughts, an elusive notion - silence - lies in wait. But what really is silence? Where can it be found? And why is it more important now than ever? Erling Kagge, the Norwegian adventurer and polymath, once spent 50 days walkinn  Behind a cacophony of traffic noise, iPhone alerts and our ever-spinning thoughts, an elusive notion - silence - lies in wait. But what really is silence? Where can it be found? And why is it more important now than ever?nnErling Kagge, the Norwegian adventurer and polymath, once spent 50 days walking solo in Antarctica with a broken radio. In this meditative, charming and surprisingly powerful book, he explores the power of silence and the importance of shutting out the world.nnWhether you're in deep wilderness, taking a shower or on the dance floor, you can experience perfect stillness if you know where to look. And from it grows self-knowledge, gratitude, wonder and much more.nnTake a deep breath, and prepare to submerge yourself in Silence. Your own South Pole is out there somewhere.",biography
Maggie Nelson,https://images.gr-assets.com/books/1410981835l/22929741.jpg,The Argonauts,4.02 avg rating,"19,128 ratings",published 2015,"An intrepid voyage out to the frontiers of the latest thinking about love, language, and family Maggie Nelson's The Argonauts is a genre-bending memoir, a work of ""autotheory"" offering fresh, fierce, and timely thinking about desire, identity, and the limitations and possibilities of love and languan  An intrepid voyage out to the frontiers of the latest thinking about love, language, and familynnMaggie Nelson's The Argonauts is a genre-bending memoir, a work of ""autotheory"" offering fresh, fierce, and timely thinking about desire, identity, and the limitations and possibilities of love and language. At its center is a romance: the story of the author's relationship with the artist Harry Dodge. This story, which includes Nelson's account of falling in love with Dodge, who is fluidly gendered, as well as her journey to and through a pregnancy, offers a firsthand account of the complexities and joys of (queer) family-making. nWriting in the spirit of public intellectuals such as Susan Sontag and Roland Barthes, Nelson binds her personal experience to a rigorous exploration of what iconic theorists have said about sexuality, gender, and the vexed institutions of marriage and child-rearing. Nelson's insistence on radical individual freedom and the value of caretaking becomes the rallying cry of this thoughtful, unabashed, uncompromising book.",biography
Jenna Bush Hager,https://images.gr-assets.com/books/1529587777l/40603347.jpg,Sisters First: Stories from Our Wild and Wonderful Life,4.02 avg rating,"12,790 ratings",published 2017,"Funny and poignant personal stories and reflections from former first daughters Jenna Bush Hager and Barbara Pierce Bush. Born into a political dynasty, Jenna and Barbara Bush grew up in the public eye. As small children, they watched their grandfather become president; just twelve years later theyn  Funny and poignant personal stories and reflections from former first daughters Jenna Bush Hager and Barbara Pierce Bush.nnBorn into a political dynasty, Jenna and Barbara Bush grew up in the public eye. As small children, they watched their grandfather become president; just twelve years later they stood by their father's side when he took the same oath. They spent their college years being trailed by the Secret Service and chased by the paparazzi, with every teenage mistake making national headlines. But the tabloids didn't tell the whole story of these two young women forging their own identities under extraordinary circumstances. In this book they take readers on a revealing, thoughtful, and deeply personal tour behind the scenes of their lives, with never-before-told stories about their family, their adventures, their loves and losses, and the special sisterly bond that fulfills them.",biography
Karan Johar,https://images.gr-assets.com/books/1473602347l/31941371.jpg,An Unsuitable Boy,3.50 avg rating,"3,969 ratings",published 2017,"Karan Johar is synonymous with success, panache, quick wit, and outspokenness, which sometimes inadvertently creates controversy and makes headlines. KJo, as he is popularly called, has been a much-loved Bollywood film director, producer, actor, and discoverer of new talent. With his flagship Dharman  Karan Johar is synonymous with success, panache, quick wit, and outspokenness, which sometimes inadvertently creates controversy and makes headlines. KJo, as he is popularly called, has been a much-loved Bollywood film director, producer, actor, and discoverer of new talent. With his flagship Dharma Productions, he has constantly challenged the norms, written and rewritten rules, and set trends. But who is the man behind the icon that we all know? nnBaring all for the first time in his autobiography, An Unsuitable Boy, KJo reminisces about his childhood, the influence of his Sindhi mother and Punjabi father, obsession with Bollywood, foray into films, friendships with Aditya Chopra, SRK and Kajol, his love life, the AIB Roast, and much more. nnThis book is both the story of the life of an exceptional filmmaker at the peak of his powers and of an equally extraordinary human being who shows you how to survive and succeed in life.",biography
Elizabeth Willard Thames,https://images.gr-assets.com/books/1502116877l/35068719.jpg,Meet the Frugalwoods: Achieving Financial Independence Through Simple Living,3.81 avg rating,"1,782 ratings",published 2018,"The deeply personal story of how award-winning personal finance blogger Elizabeth Willard Thames abandoned a successful career in the city and embraced frugality to create a more meaningful, purpose-driven life, and retire to a homestead in the Vermont woods at age thirty-two with her husband and dan  The deeply personal story of how award-winning personal finance blogger Elizabeth Willard Thames abandoned a successful career in the city and embraced frugality to create a more meaningful, purpose-driven life, and retire to a homestead in the Vermont woods at age thirty-two with her husband and daughter.nnIn 2014, Elizabeth and Nate Thames were conventional 9-5 young urban professionals. But the couple had a dream to become modern-day homesteaders in rural Vermont. Determined to retire as early as possible in order to start living each day—as opposed to wishing time away working for the weekends—they enacted a plan to save an enormous amount of money: well over seventy percent of their joint take home pay. Dubbing themselves the Frugalwoods, Elizabeth began documenting their unconventional frugality and the resulting wholesale lifestyle transformation on their eponymous blog.nnIn less than three years, Elizabeth and Nate reached their goal. Today, they are financially independent and living out their dream on a sixty-six-acre homestead in the woods of rural Vermont with their young daughter. While frugality makes their lifestyle possible, it’s also what brings them peace and genuine happiness. They don’t stress out about impressing people with their material possessions, buying the latest gadgets, or keeping up with any Joneses. In the process, Elizabeth discovered the self-confidence and liberation that stems from disavowing our culture’s promise that we can buy our way to ""the good life."" Elizabeth unlocked the freedom of a life no longer beholden to the clarion call to consume ever-more products at ever-higher sums.nnMeet the Frugalwoods is the intriguing story of how Elizabeth and Nate realized that the mainstream path wasn’t for them, crafted a lifestyle of sustainable frugality, and reached financial independence at age thirty-two. While not everyone wants to live in the woods, or quit their jobs, many of us want to have more control over our time and money and lead more meaningful, simplified lives. Following their advice, you too can live your best life.",biography
Cinelle Barnes,https://images.gr-assets.com/books/1521539440l/33832032.jpg,Monsoon Mansion: A Memoir,3.95 avg rating,"2,469 ratings",published 2018,"Told with a lyrical, almost-dreamlike voice as intoxicating as the moonflowers and orchids that inhabit this world, Monsoon Mansion is a harrowing yet triumphant coming-of-age memoir exploring the dark, troubled waters of a family’s rise and fall from grace in the Philippines. It would take a youngn  Told with a lyrical, almost-dreamlike voice as intoxicating as the moonflowers and orchids that inhabit this world, Monsoon Mansion is a harrowing yet triumphant coming-of-age memoir exploring the dark, troubled waters of a family’s rise and fall from grace in the Philippines. It would take a young warrior to survive it.nnCinelle Barnes was barely three years old when her family moved into Mansion Royale, a stately ten-bedroom home in the Philippines. Filled with her mother’s opulent social aspirations and the gloriously excessive evidence of her father’s self-made success, it was a girl’s storybook playland. But when a monsoon hits, her father leaves, and her mother’s terrible lover takes the reins, Cinelle’s fantastical childhood turns toward tyranny she could never have imagined. Formerly a home worthy of magazines and lavish parties, Mansion Royale becomes a dangerous shell of the splendid palace it had once been.nnIn this remarkable ode to survival, Cinelle creates something magical out of her truth—underscored by her complicated relationship with her mother. Through a tangle of tragedy and betrayal emerges a revelatory journey of perseverance and strength, of grit and beauty, and of coming to terms with the price of family—and what it takes to grow up.",biography
Gloria  Norris,https://images.gr-assets.com/books/1451843165l/23604504.jpg,Kookooland,4.03 avg rating,606 ratings,published 2015,"In the tradition of The Glass Castle and With or Without You, a bracingly funny and chilling true crime memoir about a girl's gutsy journey to escape her charismatic yet cruel father's reign - an unforgettable story of violence, love, and, ultimately, triumph.It's the 1960s in Manchester, New Hampshn  In the tradition of The Glass Castle and With or Without You, a bracingly funny and chilling true crime memoir about a girl's gutsy journey to escape her charismatic yet cruel father's reign - an unforgettable story of violence, love, and, ultimately, triumph.It's the 1960s in Manchester, New Hampshire, and little Gloria Norris is growing up in the projects. Her parents are Jimmy and Shirley, her sister is Virginia, and her cat is Sylvester. A photo might show a happy, young family, but only a dummkopf would believe that.  Jimmy's a wiseguy who relies on charm, snappy wit, and an unyielding belief that he's above the law; as his youngest daughter, Gloria is just like him. Or at least, she knows that she needs to stay on his good side so he doesn't brain her one. Jimmy is violent: he's passionate about hunting, horse races and slasher flicks, and he's prone to outbursts that have him screaming and reaching for his shotgun. Shirley, mild and meek as she is, tries to protect the girls from Jimmy's most brutal moments, but the thing with Jimmy is that it's his way or the highway. Virginia, older and wiser, tries to stand up to Jimmy. Gloria just wants to make him happy.  He takes Gloria everywhere. Fishing, hunting, drive-ins, and to his parents dingy bar - a hole in the wall with pickled eggs and pickled alkies. The only place Gloria can't go is the dive where Jimmy bets on horses. It's there, as she sits and waits for hours on end, that she imagines a life different from her own. Gloria's favorite of Jimmy's haunts? Hank Piasceny's gun shop. While Hank and Jimmy throw good-humored insults at each other, Gloria talks to Hank's daughter, Susan. Smart, pretty, kind, and ambitious, Susan is Gloria's idol. She represents everything Gloria wants to be - and can be, as long as she tries as hard in school. Just like Susan tells her too.  It's only when Hank commits an unspeakable act of violence, that Gloria and Susan suddenly find themselves on different paths. Hank's violence and Susan's grief serve as eerie warnings of a life to come, especially as Jimmy falls into a depression that has him making threats and reaching for his guns more often and with greater relish.  Against all odds, Gloria's fiery determination takes shape and she sets herself on a path away from the cycle of violence whirling around her - in her home, in the projects, in her small New Hampshire city and even in the national landscape where the assassinations of President Kennedy and Dr. Martin Luther King Jr. and the brutality of Vietnam underscore the tragedies she witnesses up close.  Gloria Norris's unconventional coming-of-age memoir jangles with electricity and suspense. The life of this gutsy young girl is unforgettable and inspiring, wrought with dark humor and tenderness. From the darkness her irrepressible pluck and determination emerges and Gloria triumphantly carves out a good life on her own terms.",biography
Sophia Amoruso,https://images.gr-assets.com/books/1390931472l/18667945.jpg,#GIRLBOSS,3.69 avg rating,"55,902 ratings",published 2014,"In the New York Times bestseller that the Washington Post called “Lean In for misfits,” Sophia Amoruso shares how she went from dumpster diving to founding one of the fastest-growing retailers in the world. Amoruso spent her teens hitchhiking, committing petty theft, and scrounging in dumpsters forn  In the New York Times bestseller that the Washington Post called “Lean In for misfits,” Sophia Amoruso shares how she went from dumpster diving to founding one of the fastest-growing retailers in the world.nnAmoruso spent her teens hitchhiking, committing petty theft, and scrounging in dumpsters for leftover bagels. By age twenty-two she had dropped out of school, and was broke, directionless, and checking IDs in the lobby of an art school—a job she’d taken for the health insurance. It was in that lobby that Sophia decided to start selling vintage clothes on eBay.nnFlash forward to today, and she’s the founder of Nasty Gal and the founder and CEO of Girlboss. Sophia was never a typical CEO, or a typical anything, and she’s written #GIRLBOSS for other girls like her: outsiders (and insiders) seeking a unique path to success, even when that path is windy as all hell and lined with naysayers.nn#GIRLBOSS proves that being successful isn’t about where you went to college or how popular you were in high school. It’s about trusting your instincts and following your gut; knowing which rules to follow and which to break; when to button up and when to let your freak flag fly.nn“A witty and cleverly told account . . . It’s this kind of honest advice, plus the humorous ups and downs of her rise in online retail, that make the book so appealing.” —Los Angeles Timesnn“Amoruso teaches the innovative and entrepreneurial among us to play to our strengths, learn from our mistakes, and know when to break a few of the traditional rules.” —Vanity Fairn n“#GIRLBOSS is more than a book . . . #GIRLBOSS is a movement.” —Lena Dunham",biography
Michael Caine,https://images.gr-assets.com/books/1540643321l/39295912.jpg,Blowing the Bloody Doors Off: And Other Lessons in Life,3.89 avg rating,76 ratings,published 2018,"With over 100 movies and two Academy Awards to his credit over six decades, Hollywood legend Michael Caine shares the wisdom, stories, insight, and skills that life has taught him in his remarkable career--and now his 85th year. One of our best-loved actors Michael Caine has starred in a huge rangen  With over 100 movies and two Academy Awards to his credit over six decades, Hollywood legend Michael Caine shares the wisdom, stories, insight, and skills that life has taught him in his remarkable career--and now his 85th year. One of our best-loved actors Michael Caine has starred in a huge range of films from the classic movies Alfie, Zulu, and The Italian Job (the inspiration for the book title) to the Hollywood blockbusting Dark Knight trilogy, Dirty Rotten Scoundrels, Hannah and Her Sisters, and Cider House Rules. Caine has excelled in every kind of role--with a skill that's made it look easy.  He knows what success takes--he's made it to the pinnacle of his profession from humble origins. But as he says, ""Small parts can lead to big things. And if you keep doing things right, the stars will align when you least expect it."" Now in his 85th year--and more beloved than ever--he wants to share everything he's learned. With brilliant new insight into his life and work and showcasing his wonderful gift for storytelling, Blowing the Bloody Doors Off is Caine at his wise and entertaining best.",biography
Dan Pfeiffer,https://images.gr-assets.com/books/1529777836l/36342140.jpg,"Yes We (Still) Can: Politics in the Age of Obama, Twitter, and Trump",4.20 avg rating,"3,596 ratings",published 2018,"From Obama's former communications director and current co-host of Pod Save America comes a colorful account of how politics, the media, and the Internet changed during the Obama presidency and how Democrats can fight back in the Trump era. On November 9th, 2016, Dan Pfeiffer woke up like most of thn  From Obama's former communications director and current co-host of Pod Save America comes a colorful account of how politics, the media, and the Internet changed during the Obama presidency and how Democrats can fight back in the Trump era.nnOn November 9th, 2016, Dan Pfeiffer woke up like most of the world wondering WTF just happened. How had Donald Trump won the White House? How was it that a decent and thoughtful president had been succeeded by a buffoonish reality star, and what do we do now?nnInstead of throwing away his phone and moving to another country (which were his first and second thoughts), Pfeiffer decided to tell this surreal story, recounting how Barack Obama navigated the insane political forces that created Trump, explaining why everyone got 2016 wrong, and offering a path for where Democrats go from here.nnPfeiffer was one of Obama's first hires when he decided to run for president, and was at his side through two presidential campaigns and six years in the White House. Using never-before-heard stories and behind-the-scenes anecdotes, Yes We (Still) Can examines how Obama succeeded despite Twitter trolls, Fox News (and their fake news), and a Republican Party that lost its collective mind.nnAn irreverent, no-B.S. take on the crazy politics of our time, Yes We (Still) Can is a must-read for everyone who is disturbed by Trump, misses Obama, and is marching, calling, and hoping for a better future for the country.",biography
